name,clinicaltrials_intervention_type,nct_ids,trial_count,classification,pipeline_scope,exclusion_reason,confidence
Bgaze Attention Task,DIAGNOSTIC_TEST,NCT06963879,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Blood ponction,DIAGNOSTIC_TEST,NCT06304129,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
California Cognitive Assessment Battery,DIAGNOSTIC_TEST,NCT04800588,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Collection of nasal secretion,DIAGNOSTIC_TEST,NCT05791552,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Computer assisted ambulatory electroencephalogram,DIAGNOSTIC_TEST,NCT04002583,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Cytology and Immunohistochemistry,DIAGNOSTIC_TEST,NCT03299062,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
F-18,DRUG,NCT03625128,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
F-18 FEDAA1106 (BAY85-8101),DRUG,NCT01035164,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
F-18 PMPBB3,DRUG,NCT04169126; NCT04305210,2,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
F18 Flutametamol,DRUG,NCT01607476,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
F18-3F4AP,DRUG,NCT04710550,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
IUDS,DIAGNOSTIC_TEST,NCT05785910,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
MMSE-RUN and MMSE GRECO,DIAGNOSTIC_TEST,NCT07251647,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Measurement of serum level of anti-dementia drug,DIAGNOSTIC_TEST,NCT04117178,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
MicRNAs battery,DIAGNOSTIC_TEST,NCT04137926,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
MyCog,DIAGNOSTIC_TEST,NCT05607732,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Neuropsychological test battery,DIAGNOSTIC_TEST,NCT03333096,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Olfactory test,DIAGNOSTIC_TEST,NCT03698760,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
PET/CT with RO958 (experimental),DIAGNOSTIC_TEST,NCT06618872,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Plasma p-tau217 and neurofilament light chain results,DIAGNOSTIC_TEST,NCT07680335,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Retinal fundus photography,DIAGNOSTIC_TEST,NCT04567745,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
SPARK Cognitive Status Indicator (software support data collected via EEG),DIAGNOSTIC_TEST,NCT06809725,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
Test of cognitive ability on tablet computer with CoGNIT software,DIAGNOSTIC_TEST,NCT05604183,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
XTR006,DIAGNOSTIC_TEST,NCT06151795,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
[ 18F]3F4AP,DRUG,NCT06999434,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[11C]-UCB-J,OTHER,NCT03577262,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[11C]MK-6884,DRUG,NCT02621606,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[11C]MPC6827,DRUG,NCT04575727,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[11C]MeS-IMPY,DRUG,NCT00407576,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[11C]PBR28,DRUG,NCT02831283; NCT04274998,2,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F] CFPyPB,DRUG,NCT01461109,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F] MNI-558,DRUG,NCT01217021,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F] MNI-946,DRUG,NCT03071224,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F] PBR06,DRUG,NCT01028209,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F] PBR111,DRUG,NCT01209156,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]-FEPPA,DRUG,NCT00970333,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]-FMH3,DRUG,NCT01268020,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]ACI-19626,OTHER,NCT06891716,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]FPEB,DRUG,NCT00870974,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]GSK2647544 IV bolus,DRUG,NCT01924858,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]MC225,DRUG,NCT05853471,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]MK-3328,DRUG,NCT00954538; NCT01385033,2,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]MNI-1020,DRUG,NCT03239561,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]MNI-1126,DRUG,NCT03587649,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]MNI-815 (MNI-815),DRUG,NCT02531360,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]MNI-952,DRUG,NCT03080051,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]MNI-958,DRUG,NCT03545789,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]P16-129,DRUG,NCT03902548,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[18F]RO-948,DRUG,NCT05464368,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[C-11]PBR28,DRUG,NCT02649985,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[F-18]Flornaptitril,DRUG,NCT06254469,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[F-18]W372,DRUG,NCT00954369,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
[F18]RO-948,DIAGNOSTIC_TEST,NCT03939780,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
ptau217,DIAGNOSTIC_TEST,NCT07666113,1,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,medium
radioligand [11C]AZD2184,DRUG,NCT00838877,1,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),high
APO E genotyping,BIOLOGICAL,NCT02664571,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
Biomarker,OTHER,NCT01874418,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
Biomarker assay,OTHER,NCT05649514,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
Blood sample,OTHER,NCT06582199,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
Disclosure of APOE genotype,OTHER,NCT04471779,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
Measurement of amyloid and pTau blood biomarkers,DIAGNOSTIC_TEST,NCT05427448,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
Quest AD-Detect blood test,DIAGNOSTIC_TEST,NCT07222280,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
biomarkers,DIAGNOSTIC_TEST,NCT07480187,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
blood sample taken,DIAGNOSTIC_TEST,NCT04946916,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
blood test and cognitive tests,OTHER,NCT01351142,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
predictive value of a blood test,DIAGNOSTIC_TEST,NCT05187819,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
profile of CSF biomarkers of AD,BIOLOGICAL,NCT02861846,1,investigational_therapeutic_unverified,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",high
Alianza Latina,COMBINATION_PRODUCT,NCT04418232,1,investigational_therapeutic_unverified,Needs Review,combination product — components must be inspected individually before treating the whole phrase as one canonical drug name,low
CERE-110: Adeno-Associated Virus Delivery of NGF,GENETIC,NCT00087789,1,investigational_therapeutic_unverified,Needs Review,GENETIC intervention type with no clear evidence of gene therapy vs. genetic testing/genotyping,low
Ebicomb,COMBINATION_PRODUCT,NCT03954613,1,investigational_therapeutic_unverified,Needs Review,combination product — components must be inspected individually before treating the whole phrase as one canonical drug name,low
Genetic-Tailored AntiThrombotic Strategy,GENETIC,NCT01622894,1,investigational_therapeutic_unverified,Needs Review,GENETIC intervention type with no clear evidence of gene therapy vs. genetic testing/genotyping,low
Human Nerve Growth Factor,GENETIC,NCT00017940,1,investigational_therapeutic_unverified,Needs Review,GENETIC intervention type with no clear evidence of gene therapy vs. genetic testing/genotyping,low
natural product combination-1 (NPC1),COMBINATION_PRODUCT,NCT07236190,1,investigational_therapeutic_unverified,Needs Review,combination product — components must be inspected individually before treating the whole phrase as one canonical drug name,low
A digital self-help self-compassion app intervention,OTHER,NCT07415629,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Actice music therapy,OTHER,NCT04761497,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Actigraphy and video recording signal,OTHER,NCT01049555,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Active group,DIETARY_SUPPLEMENT,NCT04466735,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Active transcutaneous vagus nerve stimulation respiratory-gated non-painful electrical stimulation of the auricle for 10 minute sessions,OTHER,NCT04908358,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Adapted Physical Activity,OTHER,NCT03866018; NCT05744011,2,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Advanced Cognitive Stimulation Therapy,OTHER,NCT04550975,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Advanced Cognitive Stimulation Therapy Hong Kong,OTHER,NCT04555629,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Aerobic exercises,OTHER,NCT02074215,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Anatabloc(R),DIETARY_SUPPLEMENT,NCT01669876,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Anodal tDCS,OTHER,NCT03325205,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Approach A (PeeSpot urine collection device).,DIAGNOSTIC_TEST,NCT04295889,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Assessment of physical activity via fitness tracker/diary,OTHER,NCT03939286,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Astaxanthin,DIETARY_SUPPLEMENT,NCT05015374,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Attention Control App,OTHER,NCT04121858,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Beetroot juice,DIETARY_SUPPLEMENT,NCT07258004,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Betaquik MCT supplement,DIETARY_SUPPLEMENT,NCT04322461,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Black raspberry,DIETARY_SUPPLEMENT,NCT05680532,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Brain Safe App,OTHER,NCT04121858,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Brain fitness app,OTHER,NCT03587012,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Brain fitness app with tACS,OTHER,NCT03587012,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Brief psychoeducational intervention,OTHER,NCT03990792,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Brief psychoeducational messages,OTHER,NCT04858737,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Bulletproof Brain Octane,DIETARY_SUPPLEMENT,NCT04396015,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
CBTi with Application,COMBINATION_PRODUCT,NCT05015803,1,investigational_therapeutic_unverified,Non-Drug Intervention,"name describes a non-drug (digital/behavioral) supportive activity, not a pharmaceutical",high
Chromium Chloride,DIETARY_SUPPLEMENT,NCT03038282,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Citicoline supplement,DIETARY_SUPPLEMENT,NCT05200208; NCT06029894,2,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Closed-loop acoustic stimulation,OTHER,NCT04277104; NCT07051239,2,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Coenzyme Q10,DIETARY_SUPPLEMENT,NCT06040905,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Cognitive Behavioral Approach-Based Psychoeducation,OTHER,NCT06976294,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Cognitive Failure Questionnaire (CFQ),DIAGNOSTIC_TEST,NCT06711952,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Computerized food preference questionnaires,OTHER,NCT05888961,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Continuous positive airway pressure device,OTHER,NCT02474251,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Control app,OTHER,NCT06035666,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Creatine Monohydrate,DIETARY_SUPPLEMENT,NCT05383833,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Cultural pathways App,OTHER,NCT05635695,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Curcumin C3 Complex,DIETARY_SUPPLEMENT,NCT00099710,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
Curcumin Formulation,DIETARY_SUPPLEMENT,NCT01001637,1,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),medium
DNA-based dietary intervention using an app,OTHER,NCT03702465,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
Deep brain stimulation,OTHER,NCT01094145,1,behavioral,Non-Drug Intervention,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,high
