raw_intervention_name,normalized_name,nct_ids,clinicaltrials_intervention_type,previous_drug_type,new_pipeline_scope,scope_reason,scope_method,scope_confidence,dashboard_eligible,manual_review_required
[18F]MK-6240,18f mk 6240,NCT03373604; NCT03706261; NCT03757910; NCT04566003; NCT04784416,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
40 Hz multi-sensory (auditory + visual) stimulation and cognitive training,40 hz multi sensory auditory visual stimulation and cognitive training,NCT04913454,OTHER,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Cognitive training,cognitive training,NCT01038726; NCT04913454; NCT06095063; NCT07721467,OTHER,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
[18Fluor]AZD4694,18fluor azd4694,NCT01325402,OTHER,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Virtual Environment,virtual environment,NCT04919005,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Decision aid,decision aid,NCT06382194,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Ocusweep test battery,ocusweep test battery,NCT03333096,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Neuropsychological test battery,neuropsychological test battery,NCT03333096,DIAGNOSTIC_TEST,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,rule_type,medium,False,True
Donanemab,donanemab,NCT03367403; NCT04437511; NCT04640077; NCT05026866; NCT05108922; NCT05508789; NCT05738486; NCT06911944; NCT06996730; NCT07167966; NCT07571161; NCT07589595; NCT07602582,DRUG,sponsor_developed_therapeutic,Therapeutic Drug,confirmed or unsourced official sponsor-pipeline match,rule_classification,medium,True,True
Dexamethasone,dexamethasone,NCT01083316; NCT03236792; NCT04270175; NCT04984330; NCT05738486,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Synchronous Rhythm Production,synchronous rhythm production,NCT06768996,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Solo Rhythm Production,solo rhythm production,NCT06768996,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Computer assisted ambulatory electroencephalogram,computer assisted ambulatory electroencephalogram,NCT04002583,DIAGNOSTIC_TEST,investigational_therapeutic_unverified,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,rule_type,medium,False,True
PF-04447943,pf 04447943,NCT00930059; NCT00959803; NCT00988598,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
TruScan Neurofeedback,truscan neurofeedback,NCT02987842,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
BPN14770,bpn14770,NCT02648672; NCT02840279; NCT03030105; NCT03817684,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
BPN14770 placebo,bpn14770 placebo,NCT03030105,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Donepezil,donepezil,NCT00000173; NCT00006399; NCT00042172; NCT00142324; NCT00151398; NCT00177671; NCT00190021; NCT00267163; NCT00348192; NCT00381381; NCT00408525; NCT00423228; NCT00480870; NCT00501111; NCT00505167; NCT00519298; NCT00566501; NCT00602680; NCT00693004; NCT00708552; NCT00713765; NCT00766363; NCT00866060; NCT00895895; NCT00948909; NCT00959881; NCT01018875; NCT01023425; NCT01023867; NCT01024660; NCT01042314; NCT01082965; NCT01125683; NCT01137526; NCT01255046; NCT01266525; NCT01362686; NCT01466088; NCT01487395; NCT01527916; NCT01677754; NCT01822951; NCT01845636; NCT01849042; NCT01951118; NCT02051335; NCT02064920; NCT02178124; NCT02305836; NCT02337907; NCT02550665; NCT02580305; NCT02769065; NCT02787746; NCT03030105; NCT03055741; NCT03090516; NCT03316898; NCT03698695; NCT03810794; NCT04117178; NCT04308304; NCT04661280; NCT04730635; NCT05538507; NCT05811000; NCT06041789; NCT06285240; NCT06417086,DRUG,comparator_or_background_therapy,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,True
Donepezil placebo,donepezil placebo,NCT00911807; NCT02051335; NCT02769065; NCT03030105; NCT05811000,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Scopolamine 0.6 MG/ML,scopolamine 0 6 mg ml,NCT03030105,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Scopolamine placebo,scopolamine placebo,NCT03030105,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Nutriceutical formulation,nutriceutical formulation,NCT01320527,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Placebo,placebo,NCT00112073; NCT00142805; NCT00265148; NCT00276510; NCT00299988; NCT00348140; NCT00348309; NCT00479219; NCT00481520; NCT00495820; NCT00519298; NCT00718731; NCT00795730; NCT00884533; NCT01068353; NCT01193608; NCT01300728; NCT01320527; NCT01397539; NCT01548287; NCT01600469; NCT01712074; NCT01747213; NCT01850238; NCT01982578; NCT02386306; NCT02389413; NCT02431468; NCT02573740; NCT02833792; NCT02849639; NCT02992132; NCT03031184; NCT03186989; NCT03250741; NCT03402659; NCT03461861; NCT03462121; NCT03548584; NCT03560245; NCT03765762; NCT03801642; NCT03806478; NCT03811847; NCT03919162; NCT03954899; NCT04121208; NCT04445831; NCT04516057; NCT04538066; NCT04629495; NCT04735536; NCT04795466; NCT04838301; NCT04867616; NCT05200208; NCT05233774; NCT05328115; NCT05363293; NCT05551741; NCT05617508; NCT05680532; NCT05822362; NCT06014424; NCT06029894; NCT06040905; NCT06079190; NCT06189963; NCT06268886; NCT06292351; NCT06372821; NCT06406348; NCT06412185; NCT06432166; NCT06570928; NCT06619613; NCT06630390; NCT06797817; NCT06976203; NCT06976216; NCT06995573; NCT07094516; NCT07135245; NCT07155980; NCT07158905; NCT07169578; NCT07170150; NCT07205601; NCT07217912; NCT07399171; NCT07413744; NCT07432997; NCT07477431; NCT07612150,OTHER,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
HiDO-ALZ,hido alz,NCT06691256,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Zunveyl®,zunveyl,NCT07633470,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Rivastigmine 4.6 mg/24 h (5 cm^2),rivastigmine 4 6 mg 24 h 5 cm 2,NCT00948766,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Rivastigmine 9.5 mg/24 h (10 cm^2),rivastigmine 9 5 mg 24 h 10 cm 2,NCT00948766,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Rivastigmine 13.3 mg/24 h (15 cm^2),rivastigmine 13 3 mg 24 h 15 cm 2,NCT00948766,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Lighting Intervention Blue light,lighting intervention blue light,NCT05411822,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Lighting Intervention Green light,lighting intervention green light,NCT05411822,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Dim-light control condition,dim light control condition,NCT05411822,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
[18F] PBR111,18f pbr111,NCT01209156,DRUG,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,False
HTL0009936,htl0009936,NCT02291783; NCT02546310,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
HTL0009936 placebo,htl0009936 placebo,NCT02291783,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Artificial Intelligence assistant decision-making system (AIADMS) App,artificial intelligence assistant decision making system aiadms app,NCT06362629,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
LY3202626,ly3202626,NCT02323334; NCT02791191; NCT03367403,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Experimental: ALZ-801,experimental alz 801,NCT04770220; NCT06304883,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Meditation,meditation,NCT00558402,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Education,education,NCT00558402; NCT07646054,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Respite only,respite only,NCT00558402,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Light goggles,light goggles,NCT06356337,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Daily reminder test message,daily reminder test message,NCT06356337,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Insulin aspart,insulin aspart,NCT00581867; NCT02462161,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Actigraph,actigraph,NCT02741505,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
RO7126209,ro7126209,NCT04023994; NCT04639050,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
NE3107,ne3107,NCT04669028; NCT05227820,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
18F-Flortaucipir radiopharmaceutical,18f flortaucipir radiopharmaceutical,NCT05361382,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
18F-MK-6240 radiopharmaceutical,18f mk 6240 radiopharmaceutical,NCT05361382,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Amyloid-β radiopharmaceutical (11C-PiB or 18F-Florbetaben or 18F-NAV-4694 or 18F-Flutemetamol),amyloid radiopharmaceutical 11c pib or 18f florbetaben or 18f nav 4694 or 18f flutemetamol,NCT05361382,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Behavioral intervention,behavioral intervention,NCT02397980,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Flortaucipir F18,flortaucipir f18,NCT01992380; NCT02016560; NCT02051764; NCT02278354; NCT02278367; NCT02336360; NCT02350634; NCT02516046; NCT02795780; NCT03019536; NCT03322462; NCT03467477; NCT03901105; NCT04468347; NCT04474405; NCT06297590,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Tailored Activity Program,tailored activity program,NCT01892579,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Home Safety and Education Program,home safety and education program,NCT01892579,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
PMPBB3,pmpbb3,NCT04309253,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
AV45,av45,NCT04309253,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Transcranial direct current stimulation (tDCS),transcranial direct current stimulation tdcs,NCT01958437; NCT02873546; NCT03422250; NCT03846492; NCT04759092; NCT05216315; NCT06801639; NCT06877312,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Sham tDCS,sham tdcs,NCT02772185; NCT03313518; NCT04457973; NCT06619795; NCT06801639; NCT07158216,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
tablet training,tablet training,NCT04628702,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Centella asiatica product,centella asiatica product,NCT05591027,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
RO4602522,ro4602522,NCT01677754; NCT01701089,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Memantine,memantine,NCT00120874; NCT00235716; NCT00255086; NCT00401167; NCT00469456; NCT00476008; NCT00505167; NCT00551161; NCT00649220; NCT00703430; NCT00800709; NCT00804271; NCT00857233; NCT00857649; NCT00862940; NCT00866060; NCT00933608; NCT01409694; NCT01677754; NCT01876823; NCT01921972; NCT02288000; NCT02580305; NCT03316898; NCT03703856; NCT04117178; NCT05102045; NCT05538507; NCT06041789; NCT07417670,DRUG,comparator_or_background_therapy,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,True
Rivastigmine,rivastigmine,NCT00000174; NCT00104442; NCT00134953; NCT00627848; NCT00766363; NCT01183806; NCT01362686; NCT01677754; NCT02063269; NCT02444637; NCT02989402,DRUG,comparator_or_background_therapy,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,True
Galantamine,galantamine,NCT00000172; NCT00035204; NCT00301574; NCT00304629; NCT00309725; NCT00679627; NCT01029132; NCT01039194; NCT01054976; NCT01181921; NCT01362686; NCT01478633; NCT01677754,DRUG,comparator_or_background_therapy,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,True
EEG-triggered TMS,eeg triggered tms,NCT07673770,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Crenezumab,crenezumab,NCT01723826; NCT01998841; NCT02670083; NCT03114657; NCT03491150; NCT03977584,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Brain Health Assessment,brain health assessment,NCT05356702; NCT05905796,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
amyloid PET,amyloid pet,NCT03542656; NCT04604600,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
Eye-Tracking / Neuropsychological evaluations,eye tracking neuropsychological evaluations,NCT04665622,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Aerobic-strength training and nutritional counseling,aerobic strength training and nutritional counseling,NCT06986096,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Cognitive training and stretching.,cognitive training and stretching,NCT06986096,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Active tDCS,active tdcs,NCT02772185; NCT04457973; NCT05478681; NCT05730023,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Gantenerumab,gantenerumab,NCT00531804; NCT01224106; NCT01656525; NCT01760005; NCT02051608; NCT03443973; NCT03444870; NCT04339413; NCT04374253; NCT04592341; NCT04623242; NCT05256134; NCT06424236,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Solanezumab,solanezumab,NCT00749216; NCT01127633; NCT01148498; NCT01760005; NCT01900665; NCT02008357; NCT02614131; NCT02760602; NCT04623242,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
