dashboard_display_name,nih_agent,match_tier,canonical_name_differs,dashboard_drug_type,nih_modality,drug_type_conflict,dashboard_target,nih_cadro,nih_cadro_mapped_target,target_conflict,dashboard_sponsor,nih_sponsor,company_conflict,dashboard_phase,nih_phase,phase_conflict,nih_mechanism_of_action
KarXT,KarXT,exact_canonical,False,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,"Bristol-Myers Squibb; Karuna Therapeutics, Inc., a Bristol Myers Squibb company",Karuna Therapeutics; Karuna Therapeutics; Karuna Therapeutics; Karuna Therapeutics,False,Phase 3,Phase 3,False,Muscarinic cholinergic agonist plus a peripheral anticholinergic agent
KarXT,KarXT + KarX‐EC,exact_alias,False,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,"Bristol-Myers Squibb; Karuna Therapeutics, Inc., a Bristol Myers Squibb company",Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb; Bristol‐Myers Squibb,False,Phase 3,Phase 3,False,Muscarinic cholinergic agonist plus a peripheral anticholinergic agent
Lecanemab,Lecanemab,exact_canonical,False,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,"Eisai Co., Ltd.; Eisai Inc.; Neurology Office of South Florida; Washington University School of Medicine; Zhejiang Provincial People's Hospital",Washington University School of Medicine; Eisai Inc.; Eisai Inc.; Washington University School of Medicine,False,Phase 3,Phase 3,False,Anti‐amyloid monoclonal antibody directed at amyloid protofibrils and plaques
levetiracetam,Levetiracetam,normalized_exact,True,Small Molecule,small molecule,False,Other,Synaptic plasticity/neuroprotection,Neuroprotection,True,Beth Israel Deaconess Medical Center; Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau; University of Minnesota; University of Oxford; Walter Reed National Military Medical Center,Beth Israel Deaconess Medical Center,False,Phase 3,Phase 2,True,SV2A modulator; improves synaptic function; reduces Aβ‐induced neuronal hyperactivity
Masitinib,Masitinib,exact_canonical,False,Small Molecule,small molecule,False,Other,Inflammation,Inflammation,True,AB Science,AB Science,False,Phase 3,Phase 3,False,Tyrosine kinase inhibitor to activate lyn/fyn and reduce activation of microglial cells
metformin,Metformin,normalized_exact,True,Small Molecule,small molecule,False,Metabolism,Metabolism and bioenergetics,Metabolism,False,"Columbia University; University College, London; University of Pennsylvania",Columbia University,False,Phase 3,Phase 3,False,Insulin sensitizer to improve brain glucose metabolism
MLC901,MLC901,exact_canonical,False,Small Molecule,small molecule,False,Other,Multi‐target,no_dashboard_equivalent,False,"National University Hospital, Singapore",Moleac Pte Ltd.,True,Phase 2,Phase 3,True,"Natural product consisting of several herbs; modulation of Aβ and tau phosphorylation, reduction of oxidative stress and inflammation, and promotion of neurogenesis and synaptogenesis"
Nabilone,Nabilone,exact_canonical,False,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,False,Phase 3,Phase 3,False,Synthetic cannabinoid agonist; modulates the endocannabinoid system
Piromelatine,Piromelatine,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,Neurim Pharmaceuticals Ltd.,Neurim Pharmaceuticals Ltd.,False,Phase 3,Phase 3,False,Melatonin receptor agonist; 5‐HT 1A and 1D serotonin receptor agonist
Remternetug,Remternetug,exact_canonical,False,Small Molecule,biologic,True,Amyloid,Amyloid‐beta,Amyloid,False,Eli Lilly and Company; Washington University School of Medicine,Eli Lilly and Company; Washington University School of Medicine; Washington University School of Medicine; Eli Lilly and Company,False,Phase 3,Phase 3,False,Anti‐amyloid monoclonal antibody targeting the pyroglutamate form of Aβ
Donanemab,RG6289 + donanemab,normalized_exact,True,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,Eli Lilly and Company; Paul S. Aisen,Banner Health,True,Phase 3,Phase 3,False,Gamma secretase modulator altering gamma secretase interaction with amyloid precursor protein + anti‐amyloid monoclonal antibody
Rotigotine,Rotigotine + rivastigmine,exact_alias,False,Small Molecule,,False,Symptomatic,Neurotransmitter receptors,Symptomatic,False,I.R.C.C.S. Fondazione Santa Lucia,I.R.C.C.S. Fondazione Santa Lucia,False,Phase 3,Phase 3,False,Combined dopamine agonist and cholinesterase inhibitor
Semaglutide,Semaglutide,exact_canonical,False,Small Molecule,biologic,True,Metabolism,Inflammation,Inflammation,True,"Novo Nordisk A/S; Rutgers, The State University of New Jersey",Rune Skovgaard Rasmussen; Imperial College London,True,Phase 3,Phase 2,True,GLP‐1 receptor agonist; reduces neuroinflammation and improves insulin signaling in the brain
Solanezumab,Solanezumab,exact_canonical,False,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,Eli Lilly and Company,Washington University School of Medicine,True,Phase 3,Phase 3,False,Monoclonal antibody directed at Aβ monomers
T3D-959,T3D‐959,normalized_exact,True,Small Molecule,small molecule,False,Metabolism,Metabolism and bioenergetics,Metabolism,False,"T3D Therapeutics, Inc.","T3D Therapeutics, Inc.",False,Phase 3,Phase 3,False,Dual agonist of PPARδ/γ targeting reduced glucose and altered lipid metabolism
Tricaprilin,Tricaprilin,exact_canonical,False,Small Molecule,,False,Metabolism,Metabolism and bioenergetics,Metabolism,False,Cerecin,Cerecin,False,Phase 3,Phase 3,False,Caprylic triglyceride; induces ketosis and improves mitochondrial and neuronal function
Trontinemab,Trontinemab,exact_canonical,False,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,Hoffmann-La Roche,Hoffmann‐La Roche,False,Phase 3,Phase 2,True,Anti‐amyloid monoclonal antibody with Brainshuttle® utilizing transferrin receptor to enhance blood brain barrier penetration
AADvac1,AADvac1,exact_canonical,False,Biologic,biologic,False,Tau,Tau,Tau,False,Axon Neuroscience SE,Paul S. Aisen,True,Phase 2,Phase 2,False,Active immunotherapy against tau protein
AADvac1,AADvac1 + AAmAb,exact_alias,False,Biologic,biologic,False,Tau,Multi‐target,no_dashboard_equivalent,False,Axon Neuroscience SE,Paul S. Aisen,True,Phase 2,Phase 2,False,Tau vaccine + anti‐ Aβ monoclonal antibody
Aldesleukin,Aldesleukin,exact_canonical,False,Small Molecule,biologic,True,Other,Inflammation,Inflammation,True,The Methodist Hospital Research Institute,Centre Hospitalier St Anne; The Methodist Hospital Research Institute,False,Phase 1,Phase 2,True,Binds with IL‐2 receptor to activate intermediates and reduce cytokine production
Baricitinib,Baricitinib,exact_canonical,False,Small Molecule,small molecule,False,Other,Inflammation,Inflammation,True,Massachusetts General Hospital; Vanderbilt University Medical Center,Massachusetts General Hospital,False,Phase 3,Phase 2,True,Janus kinase inhibitor to reduce inflammatory cytokine signaling
Benfotiamine,Benfotiamine,exact_canonical,False,Small Molecule,small molecule,False,Other,Metabolism and bioenergetics,Metabolism,True,Burke Medical Research Institute,Alzheimer's Disease Cooperative Study (ADCS),True,Phase 2,Phase 2,False,Synthetic thiamine to improve neuronal metabolism and function
BEY2153,BEY2153,exact_canonical,False,Small Molecule,small molecule,False,Other,Proteostasis/proteinopathies,no_dashboard_equivalent,False,BeyondBio Inc.,BeyondBio Inc.,False,Phase 2,Phase 2,False,Aβ and tau aggregation inhibitor; inhibits neuronal death
BMS-986368,BMS‐986368,normalized_exact,True,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,Celgene,Celgene,False,Phase 2,Phase 2,False,Inhibits fatty acid amide hydrolase and monoacylglycerol lipase to modulate the endocannabinoid system
BMS-986446,BMS‐986446,normalized_exact,True,Small Molecule,biologic,True,Tau,Tau,Tau,False,Bristol-Myers Squibb,Bristol‐Myers Squibb,False,Phase 2,Phase 2,False,Anti‐tau monoclonal antibody targeting reduction of tau spread; directed at epitopes of the microtubule binding region
Brivaracetam,Brivaracetam,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,"University of California, Los Angeles","University of California, Los Angeles",False,Phase 2,Phase 2,False,Anticonvulsant with high affinity for synaptic vesicle protein 2A
Bumetanide,Bumetanide,exact_canonical,False,Small Molecule,small molecule,False,Other,"APOE, lipids and lipoprotein receptors",no_dashboard_equivalent,False,Stanford University,Stanford University,False,Phase 2,Phase 2,False,Reverses APOE4‐specific Alzheimer's transcriptomic signatures
Cannabidiol,Cannabidiol,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Neuropsychiatric,True,"University of Colorado, Denver",Mclean Hospital,True,Phase 2,Phase 1,True,Endocannabinoid receptor agonist
Contraloid acetate,Contraloid acetate,exact_canonical,False,Small Molecule,small molecule,False,Other,Amyloid‐beta,Amyloid,True,"Charite University, Berlin, Germany",PRInnovation GmbH,True,Phase 1,Phase 2,True,Aggregation inhibitor
CORT108297,CORT108297,exact_canonical,False,Small Molecule,,False,Other,Growth factors and hormones,no_dashboard_equivalent,False,Johns Hopkins University,Johns Hopkins University,False,Phase 2,Phase 2,False,Selective glucocorticoid receptor antagonist; reduces neuroendocrine stress responses
DAOIB,DAOIB + AO,exact_alias,False,Small Molecule,,False,Other,Multi‐target,no_dashboard_equivalent,False,Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,False,Phase 2,Phase 2,False,NMDA enhancement (DAOIB) + antioxidant (AO)
Daridorexant,Daridorexant,exact_canonical,False,Small Molecule,small molecule,False,Neuropsychiatric,Circadian rhythm,no_dashboard_equivalent,False,Douglas Mental Health University Institute; University of Rochester,Douglas Mental Health University Institute,False,Phase 2,Phase 2,False,Dual orexin antagonist for both orexin 1 and orexin 2 receptors
Dasatinib + Quercetin,Dasatinib + Quercetin,exact_canonical,False,Small Molecule,small molecule,False,Neuroprotection,Inflammation,Inflammation,True,The University of Texas Health Science Center at San Antonio; Washington University School of Medicine,Washington University School of Medicine; Mayo Clinic,False,Phase 2,Phase 2,False,Tyrosine kinase inhibitor (dasitinib); reduces T‐cell signaling and production of proinflammatory cytokines
Dexmedetomidine,Dexmedetomidine,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Neuropsychiatric,True,Neurological Associates of West Los Angeles,"Teikoku Pharma USA, Inc.",True,Phase 1,Phase 2,True,Selective α2‐adrenergic receptor agonist to enhance noradrenergic function
dimethyl fumarate,Dimethyl fumarate,normalized_exact,True,Small Molecule,small molecule,False,Other,Inflammation,Inflammation,True,Medical University of Lodz,Medical University of Lodz,False,Phase 2,Phase 2,False,"Activates Nrf2 with reduction of NF‐kB signaling, inhibits NLRP3 inflammasome activation, reduces microglial activation and cytokine production"
E2814,Etalanetug (E2814) + Lecanemab (BAN2401),exact_alias,False,Small Molecule,biologic,True,Tau,Multi‐target,no_dashboard_equivalent,False,Eisai Inc.,Eisai Inc.,False,Phase 2,Phase 2,False,Anti‐tau monoclonal antibody plus anti‐amyloid monoclonal antibody
EX039,EX039,exact_canonical,False,Small Molecule,small molecule,False,Other,Synaptic plasticity/neuroprotection,Neuroprotection,True,Excelsior,Excelsior,False,Phase 2,Phase 2,False,Inhibits D‐amino acids oxidate to increase N‐methyl‐D‐aspartate receptor activity
Fasudil,Fasudil,exact_canonical,False,Small Molecule,small molecule,False,Other,Vasculature,no_dashboard_equivalent,False,Helse Stavanger HF,Helse Stavanger HF,False,Phase 2,Phase 2,False,Vasodilator to improve cerebral blood flow
IGC AD1,IGC‐AD1,normalized_exact,True,Small Molecule,,False,Other,Neurotransmitter receptors,Neuropsychiatric,True,"IGC Pharma, LLC","IGC Pharma, LLC",False,Phase 1,Phase 2,True,Tetrahydrocannabinol binds to the CB1 receptor
ITI-1284,ITI‐1284,normalized_exact,True,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,"Intra-Cellular Therapies, Inc.","Intra‐Cellular Therapies, Inc.; Intra‐Cellular Therapies, Inc.",False,Phase 2,Phase 2,False,"A deuterated form of lumateperone; 5‐HT2A receptor antagonist, D1 receptor modulator, D2 receptor modulator"
IVL3003,IVL3003,exact_canonical,False,Small Molecule,,False,Symptomatic,Neurotransmitter receptors,Symptomatic,False,"Inventage Lab., Inc.","Inventage Lab., Inc.",False,Phase 2,Phase 2,False,Cholinesterase inhibitor to enhance acetylcholine and facilitate synaptic function
JNJ-64042056,JNJ‐64042056,normalized_exact,True,Small Molecule,biologic,True,Other,Tau,Tau,True,"Janssen Pharmaceutica N.V., Belgium","Janssen Pharmaceutica N.V., Belgium",False,Phase 2,Phase 2,False,Active immunotherapy targeting tau protein
KarXT,KarXT + KarX‐EC + Lecanemab,exact_alias,False,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Symptomatic,True,"Bristol-Myers Squibb; Karuna Therapeutics, Inc., a Bristol Myers Squibb company",Neurology Office of South Florida,True,Phase 3,Phase 2,True,Muscarinic cholinergic agonist plus a peripheral anticholinergic agent and an anti‐amyloid monoclonal antibody (lecanemab)
Lemborexant,Lemborexant,exact_canonical,False,Small Molecule,small molecule,False,Neuropsychiatric,Neurotransmitter receptors,Symptomatic,True,Brendan Lucey; Eisai Inc.; University of Minnesota,Washington University School of Medicine,True,Phase 2,Phase 2,False,Dual antagonist of orexin OX1 and OX2 receptors
Lenalidomide,Lenalidomide,exact_canonical,False,Small Molecule,small molecule,False,Other,Inflammation,Inflammation,True,"St. Joseph's Hospital and Medical Center, Phoenix","St. Joseph's Hospital and Medical Center, Phoenix",False,Phase 2,Phase 2,False,"Multimodal immunomodulator that decreases inflammatory cytokines, increases anti‐inflammatory cytokines, and reduces microglial activation"
levetiracetam,Levetiracetam,normalized_exact,True,Small Molecule,small molecule,False,Other,Synaptic plasticity/neuroprotection,Neuroprotection,True,Beth Israel Deaconess Medical Center; Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau; University of Minnesota; University of Oxford; Walter Reed National Military Medical Center,Beth Israel Deaconess Medical Center,False,Phase 3,Phase 2,True,SV2A modulator; improves synaptic function; reduces Aβ‐induced neuronal hyperactivity
LHP588,LHP588,exact_canonical,False,Small Molecule,small molecule,False,Other,Multi‐target,no_dashboard_equivalent,False,"Lighthouse Pharmaceuticals, Inc.","Lighthouse Pharmaceuticals, Inc.",False,Phase 2,Phase 2,False,"Inhibits gingipains leading to reduced inflammation, amyloid plaques, and tau pathology"
memantine,Memantine,normalized_exact,True,Small Molecule,small molecule,False,Symptomatic,Neurotransmitter receptors,Symptomatic,False,"Forest Laboratories; H. Lundbeck A/S; Merz Pharmaceuticals GmbH; Stanford University; University Hospital, Lille",University of Virginia,True,Phase 3,Phase 2,True,NMDA receptor antagonist with neuroprotective effects
Methylphenidate,Methylphenidate + iTBS,exact_alias,False,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,Johns Hopkins Bloomberg School of Public Health,Sunnybrook Health Sciences Centre,True,Phase 3,Phase 2,True,Norepinephrine and dopamine reuptake inhibitor; primes intermittent theta burst stimulation
Mevidalen,Mevidalen,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,Eli Lilly and Company,Eli Lilly and Company,False,Phase 2,Phase 2,False,Dopamine D1 receptor positive allosteric modulator
MIB-626,MIB‐626,normalized_exact,True,Small Molecule,small molecule,False,Metabolism,Oxidative stress,no_dashboard_equivalent,False,Brigham and Women's Hospital,Brigham and Women's Hospital,False,Phase 2,Phase 1,True,Decreases oxidative stress to improve mitochondrial function and autophagy leading to reduction of amyloid‐beta plaques and decreased tau tangles
MK-1167,MK‐1167,normalized_exact,True,Small Molecule,,False,Other,Undisclosed,no_dashboard_equivalent,False,Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,False,Phase 2,Phase 2,False,Undisclosed
MK-2214,MK‐2214,normalized_exact,True,Biologic,biologic,False,Other,Tau,Tau,True,Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,False,Phase 2,Phase 2,False,Anti‐tau monoclonal antibody
ML-007C-MA,ML‐007C‐MA,normalized_exact,True,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,MapLight Therapeutics,MapLight Therapeutics,False,Phase 2,Phase 2,False,M1/M4 muscarinic agonist
NSC001,NSC001,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,NSC-Therapeutics,NSC‐Therapeutics,False,Phase 2,Phase 2,False,Orthosteric selective M1 cholinergic receptor agonist
NSC001,NSC001 + Trospium,exact_alias,False,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,NSC-Therapeutics,NSC‐Therapeutics,False,Phase 2,Phase 2,False,Orthosteric selective M1 cholinergic receptor agonist plus a repurposed anticholinergic agent to reduce peripheral cholinergic side effects
NTRX-07,NTRX‐07,normalized_exact,True,Small Molecule,small molecule,False,Inflammation,Neurotransmitter receptors,Symptomatic,True,"NeuroTherapia, Inc.","NeuroTherapia, Inc.",False,Phase 2,Phase 2,False,Cannabinoid type 2 receptor agonist; reduces microglial‐mediated inflammation
ONO-2020,ONO‐2020,normalized_exact,True,Small Molecule,,False,Neuropsychiatric,Epigenetic regulators,Neuropsychiatric,False,"Ono Pharmaceutical Co., Ltd.",Ono Pharmaceutical Co. Ltd; Ono Pharmaceutical Co. Ltd,False,Phase 2,Phase 2,False,Epigenetic regulator modulating immune function and inflammation
RO7269162,RO7269162,exact_canonical,False,Small Molecule,small molecule,False,Other,Amyloid‐beta,Amyloid,True,Hoffmann-La Roche,Hoffmann‐La Roche,False,Phase 2,Phase 2,False,Gamma‐secretase modulator to reduce Aß production
sabirnetug,Sabirnetug,normalized_exact,True,Small Molecule,biologic,True,Other,Amyloid‐beta,Amyloid,True,Acumen Pharmaceuticals,Acumen Pharmaceuticals,False,Phase 2,Phase 2,False,Monoclonal antibody targeting soluble Aβ
Sargramostim,Sargramostim,exact_canonical,False,Small Molecule,biologic,True,Inflammation,Inflammation,Inflammation,False,"University of Colorado, Denver","University of Colorado, Denver",False,Phase 2,Phase 2,False,Granulocyte macrophage colony stimulating factor that shifts microglia toward a phagocytic phenotype to remove amyloid protein
Semaglutide,Semaglutide,exact_canonical,False,Small Molecule,biologic,True,Metabolism,Inflammation,Inflammation,True,"Novo Nordisk A/S; Rutgers, The State University of New Jersey",Rune Skovgaard Rasmussen; Imperial College London,True,Phase 3,Phase 2,True,GLP‐1 receptor agonist; reduces neuroinflammation and improves insulin signaling in the brain
Semaglutide,Semaglutide + Candesartan + Vitamin D + Calcium,exact_alias,False,Small Molecule,biologic,True,Metabolism,Inflammation,Inflammation,True,"Novo Nordisk A/S; Rutgers, The State University of New Jersey",Rune Skovgaard Rasmussen,True,Phase 3,Phase 2,True,GLP‐1 receptor agonist; (reduces neuroinflammation and improves insulin signaling in the brain); angiotensin receptor blocker; calcium; vitamin D
Senicapoc,Senicapoc,exact_canonical,False,Small Molecule,small molecule,False,Other,Inflammation,Inflammation,True,"University of California, Davis","University of California, Davis",False,Phase 2,Phase 2,False,Calcium‐activated potassium channel blocker to inhibit activation of microglial and decrease proinflammatory cytokine release
SHR-1707,SHR‐1707,normalized_exact,True,Small Molecule,biologic,True,Amyloid,Amyloid‐beta,Amyloid,False,"Atridia Pty Ltd.; Shanghai Hengrui Pharmaceutical Co., Ltd.","Shanghai Hengrui Pharmaceutical Co., Ltd.",False,Phase 2,Phase 2,False,Anti‐amyloid monoclonal antibody
Siponimod,Siponimod,exact_canonical,False,Small Molecule,small molecule,False,Other,Inflammation,Inflammation,True,"St. Joseph's Hospital and Medical Center, Phoenix","St. Joseph's Hospital and Medical Center, Phoenix",False,Phase 2,Phase 2,False,Immunomodulation; Sphingosine ‐1‐phosphate receptor modulator to decrease microglial activation and proinflammatory cytokine release
Sirolimus,Sirolimus,exact_canonical,False,Small Molecule,small molecule,False,Other,Vasculature,no_dashboard_equivalent,False,Karolinska Institutet,The University of Texas Health Science Center at San Antonio,True,Phase 2,Phase 2,False,Enhances cerebral blood flow; mammalian target of rapamycin (mTOR) inhibitor with immunosuppressive effects
Sodium Pentaborate Pentahydrate,Sodium pentaborate pentahydrate,normalized_exact,True,Small Molecule,small molecule,False,Other,Multi‐target,no_dashboard_equivalent,False,Tabriz University of Medical Sciences,Tabriz University of Medical Sciences,False,Phase 2,Phase 2,False,"Affects dysregulated genes of multiple biological processes, including inflammation, cell stress, cell growth, cell proliferation, and apoptosis."
SPG302,SPG302,exact_canonical,False,Small Molecule,small molecule,False,Tau,Synaptic plasticity/neuroprotection,Neuroprotection,True,Spinogenix,Spinogenix,False,Phase 2,Phase 2,False,Targets fascin to stimulate neurons to rebuild dendritic spines
Suvorexant,Suvorexant,exact_canonical,False,Small Molecule,small molecule,False,Neuropsychiatric,Neurotransmitter receptors,Symptomatic,True,Merck Sharp & Dohme LLC; University of Minnesota,Washington University School of Medicine,True,Phase 3,Phase 2,True,Dual orexin receptor antagonist; improves sleep with effects on clearance of CSF Aβ and tau
tadalafil,Tadalafil,normalized_exact,True,Small Molecule,,False,Neuroprotection,Neurotransmitter receptors,Symptomatic,True,Imperial College London,Imperial College London,False,Phase 2,Phase 2,False,Phosphodiesterase 5 (PDE5) inhibitor; elevates cyclic guanosine monophosphate (GMP) to improve neuroplasticity
Trazodone,Trazodone,exact_canonical,False,Small Molecule,,False,Neuropsychiatric,Circadian rhythm,no_dashboard_equivalent,False,Brasilia University Hospital; Johns Hopkins University,Johns Hopkins University,False,Phase 3,Phase 2,True,Serotonin reuptake inhibitor to restore sleep
Trontinemab,Trontinemab,exact_canonical,False,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,Hoffmann-La Roche,Hoffmann‐La Roche,False,Phase 3,Phase 2,True,Anti‐amyloid monoclonal antibody with Brainshuttle® utilizing transferrin receptor to enhance blood brain barrier penetration
VHB937,VHB937,exact_canonical,False,Biologic,biologic,False,Other,Inflammation,Inflammation,True,Novartis Pharmaceuticals,Novartis Pharmaceuticals,False,Phase 2,Phase 2,False,TREM2 antibody agonist that increases phagocytic activity of microglia
VY7523,VY7523,exact_canonical,False,Small Molecule,biologic,True,Other,Tau,Tau,True,Voyager Therapeutics,Voyager Therapeutics,False,Phase 2,Phase 2,False,Recombinant humanized immunoglobulin gamma 4 (IgG4) monoclonal antibody targeting human pathological tau
XPro1595,XPro1595,exact_canonical,False,Small Molecule,biologic,True,Inflammation,Inflammation,Inflammation,False,"Inmune Bio, Inc.","Inmune Bio, Inc.",False,Phase 2,Phase 2,False,TNF neutralizer to reduce interaction with TNF receptors that activate a pro‐inflammatory cascade
CT1812,Zervimesine (CT1812),exact_alias,False,Small Molecule,small molecule,False,Amyloid,Synaptic plasticity/neuroprotection,Neuroprotection,True,Cognition Therapeutics,Cognition Therapeutics,False,Phase 2,Phase 2,False,Sigma‐2 receptor antagonist; competes with oligomeric Aβ binding; protects against Aβ‐induced synaptic toxicity
ALN-5288,ALN‐5288,normalized_exact,True,Small Molecule,biologic,True,Other,Tau,Tau,True,Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,False,Phase 1,Phase 1,False,RNAi therapeutic targeting microtubule‐associated protein tau (MAPT)
AS-S603,AS‐S603,normalized_exact,True,Small Molecule,small molecule,False,Other,Proteostasis/proteinopathies,no_dashboard_equivalent,False,Amyloid Solution Inc,Amyloid Solution Inc,False,Phase 1,Phase 1,False,Targets and dissolves Aβ and tau aggregates
AV-1959D,AV‐1959D,normalized_exact,True,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,Institute for Molecular Medicine,Institute for Molecular Medicine,False,Phase 1,Phase 1,False,Anti‐amyloid vaccine
BCG vaccine,BCG vaccine,exact_canonical,False,Biologic,biologic,False,Other,Inflammation,Inflammation,True,Tamir Ben-Hur,Tamir Ben‐Hur,False,Phase 1,Phase 1,False,Immunomodulation by enhancing systemic immunity
BnH-015B,BnH‐015B,normalized_exact,True,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,BnH Research,BnH Research,False,Phase 1,Phase 1,False,Modulates GluN2B binding of NMDA receptors; regulates BDNF/TRKβ and microglial‐mediated IL‐33‐OPN signaling
Cannabidiol,Cannabidiol,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Neuropsychiatric,True,"University of Colorado, Denver",Mclean Hospital,True,Phase 2,Phase 1,True,Endocannabinoid receptor agonist
