name,nct_ids,trial_count,evidence_used,previous_pipeline_scope,new_pipeline_scope,diagnostic_subtype,confidence,previously_leaked_into_therapeutic_dashboard
18F-JSS20-183A PET,NCT06932809,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
18F-OP-801,NCT05395624,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
18F-PF974,NCT07169630,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
18FAV45,NCT01962753,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
AH110690 (18F) Injection,NCT00785759,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
C-11 ER-176,NCT04786223,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
F-18,NCT03625128,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
F-18 DPA-714 (BAY85-8102),NCT01009359,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
F-18 FEDAA1106 (BAY85-8101),NCT01035164,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
F-18 PMPBB3,NCT04169126; NCT04305210,2,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
F18 Flutametamol,NCT01607476,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
F18-3F4AP,NCT04710550,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
I-123-MNI-168,NCT00870519,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
I123MNI388/I123MNI390,NCT00886951,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
Radioligand (11C)AZD2995,NCT00692705,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[ 18F]3F4AP,NCT06999434,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[11C]HSP990 PET dosimetry,NCT07380204,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[11C]HSP990 PET test-retest,NCT07380204,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[11C]HSP990 simplified scan protocol,NCT07380204,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[11C]MK-6884,NCT02621606,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[11C]MPC6827,NCT04575727,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[11C]MeS-IMPY,NCT00407576,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[11C]PBR28,NCT02831283; NCT04274998,2,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
[11C]RO6924963,NCT02187627,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[11C]RO6931643,NCT02187627,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[123I] AV 39,NCT00439010,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[123I] AV-151,NCT00556660,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[123I] MNI-308,NCT00544453,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[123I]-IBVM,NCT00480701,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[123I]AV94,NCT00605059,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[123I]CLINDE,NCT00612872,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F] CFPyPB,NCT01461109,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F] MNI-558,NCT01217021,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[18F] MNI-946,NCT03071224,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[18F] PBR06,NCT01028209,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
[18F] PBR111,NCT01209156,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
[18F]-FEPPA,NCT00970333,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
[18F]-FMH3,NCT01268020,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F]ACI-19626,NCT06891716,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F]FPEB,NCT00870974,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F]Fluorbetazine injection,NCT07764679,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F]GSK2647544 IV bolus,NCT01924858,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F]MC225,NCT05853471,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F]MK-3328,NCT00954538; NCT01385033,2,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[18F]MNI-1020,NCT03239561,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[18F]MNI-1126,NCT03587649,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[18F]MNI-815 (MNI-815),NCT02531360,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[18F]MNI-952,NCT03080051,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[18F]MNI-958,NCT03058965; NCT03545789,2,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[18F]NOS,NCT04274998,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
[18F]P16-129,NCT03902548,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
[18F]RO-948,NCT05464368; NCT05911178,2,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Tau PET tracer,high,True
[C-11]PBR28,NCT02649985,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
[F-18]Flornaptitril,NCT06254469,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
[F-18]PBR06,NCT02649985,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
[F-18]W372,NCT00954369,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
radioligand [11C]AZD2184,NCT00692705; NCT00838877,2,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
"""Antillanisée"" Mini Mental State Examination (MMSEa)",NCT03324711,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
1. amyloid PET；2. T807 PET,NCT03969732,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
11C-PIB,NCT00855868; NCT01826110; NCT02120664; NCT03757910; NCT03958630; NCT05911178; NCT06999434,7,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
11C-PIB PET Scan,NCT00811122,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18-F amyloid PET Scan,NCT05806697,1,RADIATION-type intervention with imaging/scan wording,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,medium,False
18-F-Flortaucipir,NCT03821857,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18-FDG PET,NCT01325259,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-AV-1451,NCT03283449; NCT04080544; NCT06723015,3,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-AV-1451 (Tau-PET tracer),NCT02958670,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-AV-45,NCT01503944,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,PET tracer,high,False
18F-FDG,NCT01890343,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-Florbetaben (FBB),NCT07758660,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-Florbetaben PET,NCT02556502,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-Florbetapir,NCT03058965; NCT03071224; NCT03080051; NCT03641768; NCT04305210,5,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-Florbetapir or 18F-Flutemetamol,NCT07012993,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-Flortaucipir radiopharmaceutical,NCT05361382,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-Flutemetamol,NCT01053312; NCT01092546; NCT01165554; NCT01202994; NCT01265394; NCT01672827; NCT02813070,7,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-Flutemetamol PET/MRI,NCT03291093,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-MK-6240,NCT03373604; NCT03706261; NCT03757910; NCT04566003; NCT04784416; NCT06860373,6,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-MK-6240 radiopharmaceutical,NCT05361382,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-MK6240,NCT04576793; NCT05464368; NCT06999434; NCT07758660,4,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-PM-PBB3,NCT04248270,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-RO948,NCT06731842,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
18F-florbetaben,NCT02831283; NCT03706261; NCT04396873; NCT04576793; NCT04840979; NCT05527288; NCT07169630,7,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-florbetaben PET/CT,NCT06048601,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
18F-fluorodeoxyglucose (FDG) PET Scan,NCT05806697,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
AV45,NCT04309253,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
AV45/AV-1、AV1451 PET,NCT07114224,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Tau PET tracer,high,False
Aftobetin-HCl,NCT02928211,1,"drug/biologic used as a pharmacological challenge/probe agent or for diagnostic-tool/contrast-imaging development in this trial, not as an investigational AD treatment",Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
Amnesia Light and Brief Assessment (ALBA),NCT07558785,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
Amyloid PET scan,NCT03860857,1,RADIATION-type intervention with imaging/scan wording,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,medium,False
Amyloid-β radiopharmaceutical (11C-PiB or 18F-Florbetaben or 18F-NAV-4694 or 18F-Flutemetamol),NCT05361382,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
Amyvid,NCT04118764; NCT05164536; NCT06600880,3,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
Approach B (ACR,NCT04295889,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
BAY 94-9172 (Florbetaben),NCT01222351,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
BAY1006578,NCT01153607,1,"drug/biologic used as a pharmacological challenge/probe agent or for diagnostic-tool/contrast-imaging development in this trial, not as an investigational AD treatment",Diagnostic Agent,Diagnostic Agent,PET tracer,high,False
Bgaze Attention Task,NCT06963879,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
Blood ponction,NCT06304129,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
C-11 PiB,NCT01609335; NCT01723553; NCT02740634,3,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
C11 PiB,NCT01607476,1,matches a curated diagnostic/imaging tracer name,Diagnostic Agent,Diagnostic Agent,Amyloid PET tracer,high,False
CONFMEM,NCT06080659,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
CT scan,NCT03597360,1,RADIATION-type intervention with imaging/scan wording,Diagnostic Agent,Diagnostic Agent,PET tracer,medium,False
California Cognitive Assessment Battery,NCT04800588,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
Cognigram,NCT06191952,1,intervention type is DIAGNOSTIC_TEST,Diagnostic Agent,Diagnostic Agent,,medium,False
