nct_id,title,phase_clean,drug_type,target,status_clean,is_aribio,developed_drug,developed_drug_normalized,drug_classification,classification_reason,official_pipeline_match,official_source_url,verification_status,classification_confidence,needs_manual_review,pipeline_scope,scope_reason,scope_method,scope_confidence,manual_review_required,diagnostic_subtype
NCT00658125,Deep Brain Stimulation (DBS) for Alzheimer's Disease,NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT05200208,Improving Sleep and Cognition in Alzheimer's Disease,NA,Dietary Supplement,Neuropsychiatric,Trial Completed,False,Citicoline supplement,citicoline supplement,investigational_therapeutic_unverified,sole investigational candidate identified (Citicoline supplement); not yet confirmed via official pipeline,False,,no_match,medium,True,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,
NCT02861846,Predictive Value of Biomarkers of the Alzheimer's Disease (AD) in Elderly Patients With New-onset Epilepsy,NA,Biologic,Other,Trial Completed,False,profile of CSF biomarkers of AD,profile of csf biomarkers of ad,investigational_therapeutic_unverified,sole investigational candidate identified (profile of CSF biomarkers of AD); not yet confirmed via official pipeline,False,,no_match,medium,True,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",rule_keyword,high,False,
NCT04213391,Effects of Sulforaphane in Patients With Prodromal to Mild Alzheimer's Disease,NA,Dietary Supplement,Other,Unknown,False,sulforaphane,sulforaphane,investigational_therapeutic_unverified,sole investigational candidate identified (sulforaphane); not yet confirmed via official pipeline,False,,no_match,medium,True,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,
NCT06619613,A Study of CM383 in Patients With Alzheimer's Disease Related Mild Cognitive Impairment and Mild Alzheimer's Disease,Phase 1,Biologic,Other,Active,False,Alzheimer Disease (AD),alzheimer disease ad,investigational_therapeutic_unverified,sole investigational candidate identified (Alzheimer Disease (AD)); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06285240,Efficacy and Safety of MK-1167 in Participants With Alzheimer's Disease Dementia Taking Stable Donepezil Treatment (MK-1167-007),Phase 1,Small Molecule,Symptomatic,Trial Completed,False,MK-1167,mk 1167,investigational_therapeutic_unverified,sole investigational candidate identified (MK-1167); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04381468,SEMA4D Blockade Safety and Brain Metabolic Activity in Alzheimer's Disease (AD),Phase 1/Phase 2,Biologic,Metabolism,Trial Completed,False,Pepinemab,pepinemab,investigational_therapeutic_unverified,sole investigational candidate identified (Pepinemab); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06803797,BCT Intervention For Walking Habit Among Caregivers of People With AD/ADRD,NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT04095962,Effects of a Multicomponent Exercise Intervention on Physical and Cognitive Function of Older Adults With Dementia,NA,Non-Drug/Behavioral,Other,Unknown,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT03461861,Network-Level Mechanisms for Preclinical Alzheimer's Disease Development,Phase 2,Small Molecule,Other,Trial Completed,False,AGB101,agb101,investigational_therapeutic_unverified,sole investigational candidate identified (AGB101); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00301574,An Efficacy and Safety Study of Galantamine for the Treatment of Patients With Alzheimer's Disease.,Phase 3,Small Molecule,Symptomatic,Trial Completed,False,galantamine,galantamine,investigational_therapeutic_unverified,sole investigational candidate identified (galantamine); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03123224,The COACH Project: Combined Online Assistance for Caregiver Health,NA,Non-Drug/Behavioral,Other,Unknown,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT04294888,TMS in Preclinical and Prodromal AD: Modulation of Brain Networks and Memory,NA,Device,Other,Discontinued,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT04077450,Heart-Focused Breathing in Alzheimer's Disease Caregivers,NA,Non-Drug/Behavioral,Other,Discontinued,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT03197740,"A Multinational, Multi-center, Randomized, Double-blind, Active Comparator, Phase III Clinical Trial to Evaluate the Efficacy and Safety of Donepezil Transdermal Patch in Patients With Alzheimer's Disease",Phase 3,Small Molecule,Symptomatic,Trial Completed,False,,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",False,,no_match,low,True,Needs Review,no therapeutic candidate; trial has unresolved/uncertain interventions,rule_classification,low,True,
NCT03602391,The Senior Companion Program Plus,NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT00742417,Efficacy and Safety of Plasma Exchange With 5% Albumin in Beta-amyloid Peptide Clearance in Cerebral Spinal Fluid,Phase 2,Biologic,Amyloid,Trial Completed,False,,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",False,,no_match,low,True,Needs Review,no therapeutic candidate; trial has unresolved/uncertain interventions,rule_classification,low,True,
NCT02791191,A Study of LY3202626 on Disease Progression in Participants With Mild Alzheimer's Disease Dementia,Phase 2,Small Molecule,Other,Discontinued,False,LY3202626,ly3202626,investigational_therapeutic_unverified,sole investigational candidate identified (LY3202626); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00009191,The Depression in Alzheimer's Disease Study (DIADS),Phase 4,Small Molecule,Neuropsychiatric,Trial Completed,False,Sertraline [Zoloft],sertraline zoloft,investigational_therapeutic_unverified,sole investigational candidate identified (Sertraline [Zoloft]); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01195389,Safety and Efficacy Study of Magnetic Fields to Treat Alzheimer's Disease,NA,Device,Other,Unknown,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT02353598,A Study of Crenezumab in Participants With Mild to Moderate Alzheimer Disease,Phase 1,Biologic,Amyloid,Trial Completed,False,Crenezumab dose level 1; Crenezumab dose level 2,crenezumab dose level 1 crenezumab dose level 2,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Crenezumab dose level 1; Crenezumab dose level 2) — could not resolve to a single drug,False,,multiple_candidates_unresolved,low,True,Needs Review,multiple distinct unverified candidates found in one trial — scope not determined at trial level,rule_classification,low,True,
NCT00253214,Placebo-Controlled Evaluation of Galantamine in the Treatment of Alzheimer's Disease: Safety and Efficacy of a Controlled-Release Formulation,Phase 3,Small Molecule,Symptomatic,Trial Completed,False,Galantamine,galantamine,investigational_therapeutic_unverified,sole investigational candidate identified (galantamine hydrobromide); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07011732,A Phase 3 Study to Evaluate the Safety and Efficacy of KarXT + KarX-EC for the Treatment of Agitation Associated With Alzheimer's Disease (ADAGIO-1),Phase 3,Small Molecule,Neuropsychiatric,Active,False,Xanomeline/Trospium Chloride; Xanomeline Enteric,xanomeline trospium chloride xanomeline enteric,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Xanomeline/Trospium Chloride; Xanomeline Enteric) — could not resolve to a single drug,False,,multiple_candidates_unresolved,low,True,Needs Review,multiple distinct unverified candidates found in one trial — scope not determined at trial level,rule_classification,low,True,
NCT04616287,Self and Autobiographical Memory in Dementia With Lewy Bodies and Alzheimer Disease: a Behavioral and Multimodal Neuroimaging Study,NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT01297140,"The PACO Study (""Personnalité Alzheimer COmportement"")",NA,Non-Drug/Behavioral,Other,Unknown,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT00906191,Study Evaluating How Quickly And To What Extent The 14-Carbon-SAM-531 Is Absorbed/Converted/Eliminated In Male Subjects,Phase 1,Small Molecule,Symptomatic,Trial Completed,False,SAM-531,sam 531,investigational_therapeutic_unverified,sole investigational candidate identified (SAM-531); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00099710,Curcumin in Patients With Mild to Moderate Alzheimer's Disease,Phase 2,Dietary Supplement,Other,Trial Completed,False,Curcumin C3 Complex,curcumin c3 complex,investigational_therapeutic_unverified,sole investigational candidate identified (Curcumin C3 Complex); not yet confirmed via official pipeline,False,,no_match,medium,True,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,
NCT04019665,Self-screening of Cognitive Impairment in Primary Care,NA,Non-Drug/Behavioral,Other,Discontinued,False,,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",False,,no_match,low,True,Needs Review,no therapeutic candidate; trial has unresolved/uncertain interventions,rule_classification,low,True,
NCT01138111,Florbetaben (BAY94-9172) PET (Positron Emission Tomography) Imaging in MCI (Mild Cognitive Impairment) Patients,Phase 1,Small Molecule,Amyloid,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT05040321,Sirtuin-NAD Activator in Alzheimer's Disease,Phase 1/Phase 2,Small Molecule,Metabolism,Trial Completed,False,MIB-626,mib 626,investigational_therapeutic_unverified,sole investigational candidate identified (MIB-626); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05828693,Systemic Stress Prevention Via Application SysLife© for Companies,NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT03360019,Accurate WiFi-Based Localization of Dementia Patients For Caregiver Support:,NA,Device,Other,Trial Completed,False,Activlink Phone Application,activlink phone application,investigational_therapeutic_unverified,sole investigational candidate identified (Activlink Phone Application); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05728736,Acute Effect of Lemborexant on CSF Amyloid-Beta and Tau,Phase 2,Small Molecule,Neuropsychiatric,Discontinued,False,Lemborexant,lemborexant,investigational_therapeutic_unverified,sole investigational candidate identified (Lemborexant); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01436045,Safety and Effectiveness Study of Intranasal Insulin Glulisine on Cognitive and Memory in Mild-Mod AD Patients.,Phase 2,Small Molecule,Metabolism,Trial Completed,False,,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",False,,no_match,low,True,Needs Review,no therapeutic candidate; trial has unresolved/uncertain interventions,rule_classification,low,True,
NCT05787028,"Safety, Tolerability and Pharmacokinetics of AD16 Tablets in Adult Healthy Subjects After Single Administration",Phase 1,Small Molecule,Other,Trial Completed,False,AD16,ad16,investigational_therapeutic_unverified,sole investigational candidate identified (AD16); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04137016,"Pilot Study to Assess the Impact of a Mobile Health Application (App) on Clinical Outcomes and Satisfaction of Older HIV-Infected Patients, as an Emerging Tool for Care, Education and Prevention.",NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT00423085,Efficacy and Safety of Rivastigmine Transdermal Patch in Patients With Mild to Moderate Alzheimer's Disease,Phase 3,Small Molecule,Symptomatic,Trial Completed,False,Rivastigmine,rivastigmine,investigational_therapeutic_unverified,sole investigational candidate identified (Rivastigmine patch); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06473220,Evaluation of the Effectiveness of Narrative Nursing,NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT06411561,A Multi-Modal Combination Intervention to Promote Cognitive Function in Older Intensive Care Unit Survivors,NA,Non-Drug/Behavioral,Neuropsychiatric,Active,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT02033941,Phase 2 Study to Examine Grape Seed Extract as an Anti-Oligomerization Agent in Alzheimer's Disease (AD),Phase 2,Small Molecule,Amyloid,Discontinued,False,Meganatural-Az Grapeseed Extract,meganatural az grapeseed extract,investigational_therapeutic_unverified,sole investigational candidate identified (Meganatural-Az Grapeseed Extract); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01650454,"Sleep, Cognition and Memory Disorder",NA,Non-Drug/Behavioral,Neuropsychiatric,Trial Completed,False,,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",False,,no_match,low,True,Needs Review,no therapeutic candidate; trial has unresolved/uncertain interventions,rule_classification,low,True,
NCT00388544,Enhancing Quality of Life for Nursing Home Residents,Phase 2,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT07659964,Use of a Mobile Brain-Body Imaging Approach to Evaluate the Effects of Rhythmic Auditory Stimulation on Gait and Brain Function in Alzheimer's Disease,NA,Non-Drug/Behavioral,Other,Active,False,Metronome,metronome,investigational_therapeutic_unverified,sole investigational candidate identified (Metronome); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02062099,PET Imaging of the Translocator Proteine Ligands (TSPO) With [18 F] DPA-714 Biomarker of NeuroInflammation in Cognitive Decline (NIDECO),Phase 1,Small Molecule,Amyloid,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT06346275,Effect of Acupuncture on the Gait Disturbance and Hemodynamic Changes in the Prefrontal Cortex,NA,Non-Drug/Behavioral,Other,Unknown,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT01953601,Efficacy and Safety Trial of Verubecestat (MK-8931) in Participants With Prodromal Alzheimer's Disease (MK-8931-019),Phase 3,Small Molecule,Amyloid,Discontinued,False,Verubecestat,verubecestat,investigational_therapeutic_unverified,sole investigational candidate identified (Verubecestat); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06733181,The REMINDER Program for Older Adults Supported by Residential and Daycare Facilities,NA,Non-Drug/Behavioral,Other,Trial Completed,False,REMINDER intervention,reminder intervention,investigational_therapeutic_unverified,sole investigational candidate identified (REMINDER intervention); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05178992,Use of Socially Assistive Robots for Long Term Care Older Adults With Cognitive Impairment and Apathy,Phase 1/Phase 2,Non-Drug/Behavioral,Neuropsychiatric,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT03724136,Alzheimer's Autism and Cognitive Impairment Stem Cell Treatment Study,NA,Cell/Gene Therapy,Other,Unknown,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT00486044,Evaluating Simvastatin's Potential Role in Therapy,Phase 2,Small Molecule,Metabolism,Trial Completed,False,Simvastatin,simvastatin,investigational_therapeutic_unverified,sole investigational candidate identified (Simvastatin); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03958630,PET Imaging of Neuroinflammation in Neurodegenerative Diseases Via a Novel Translocator Protein (TSPO) Radioligand,Phase 1,Small Molecule,Inflammation,Discontinued,False,11C-ER176,11c er176,investigational_therapeutic_unverified,sole investigational candidate identified (11C-ER176); not yet confirmed via official pipeline,False,,no_match,medium,True,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,TSPO/neuroinflammation PET tracer
NCT05068830,Safety and Efficacy of Plasma Transfusion From Exercise-trained Donors in Patients With Early Alzheimer's Disease,Phase 2,Small Molecule,Other,Active,False,,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",False,,no_match,low,True,Needs Review,no therapeutic candidate; trial has unresolved/uncertain interventions,rule_classification,low,True,
NCT01023867,Clinical Trial of Donepezil Between the Patients With Alzheimer's Disease and Mixed Dementia,NA,Small Molecule,Symptomatic,Trial Completed,False,Donepezil,donepezil,investigational_therapeutic_unverified,sole investigational candidate identified (donepezil); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06999434,Exploring the Utility of [18F]3F4AP for Demyelination Imaging,Phase 1,Small Molecule,Tau,Active,False,[ 18F]3F4AP,18f 3f4ap,investigational_therapeutic_unverified,sole investigational candidate identified ([ 18F]3F4AP); not yet confirmed via official pipeline,False,,no_match,medium,True,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,PET tracer
NCT00874939,A Study to Evaluate the Effects of MK-0249 and an Alzheimer's Disease Medication on Cognitive Function in Adults With Alzheimer's Disease (MK-0249-023),Phase 1,Small Molecule,Symptomatic,Discontinued,False,MK-0249,mk 0249,investigational_therapeutic_unverified,sole investigational candidate identified (MK-0249); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04240665,The Digital Memory Notebook,NA,Non-Drug/Behavioral,Other,Active,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT00571064,The Effectiveness And Safety Of Donepezil Hydrochloride (E2020) In Subjects With Mild To Severe Alzheimer's Disease Residing In An Assisted Living Facility,Phase 4,Small Molecule,Symptomatic,Trial Completed,False,Donepezil,donepezil,investigational_therapeutic_unverified,sole investigational candidate identified (Donepezil HCl); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01021644,"Genes, Exercise, Memory and Neurodegeneration",NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT06756828,Effects of 3-Month Melatonin Treatment on Regional Cerebellar Structure and Blood Biomarkers in Alzheimer's Disease Spectrum,NA,Small Molecule,Other,Active,False,Melatonin,melatonin,investigational_therapeutic_unverified,sole investigational candidate identified (Melatonin); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07191028,Alzheimer's Disease THErapy With NEuroaid II,Phase 3,Small Molecule,Other,Active,False,MLC 901,mlc 901,investigational_therapeutic_unverified,sole investigational candidate identified (MLC 901); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04464564,"Study to Assess the Efficacy, Safety, and Tolerability of AVP-786 for the Treatment of Agitation in Patients With Dementia of the Alzheimer's Type",Phase 3,Small Molecule,Neuropsychiatric,Discontinued,False,AVP-786,avp 786,investigational_therapeutic_unverified,sole investigational candidate identified (AVP-786); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
