NCT Number,Sponsor,Study Title,intervention_type,intervention_name,normalized_name,classification,classification_reason,official_pipeline_match,matched_pipeline_drug,official_source_url,verification_status,confidence,needs_manual_review,pipeline_scope,scope_reason,scope_method,scope_confidence,manual_review_required,diagnostic_subtype
NCT03533257,Amylyx Pharmaceuticals Inc.,Study to Assess the Safety and Biological Activity of AMX0035 for the Treatment of Alzheimer's Disease,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT07163039,Fenerbahce University,The Effect of Dual Task Training on Cognitive in Alzheimer's Disease,OTHER,Dual-Task Motor-Cognitive Training,dual task motor cognitive training,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT07163039,Fenerbahce University,The Effect of Dual Task Training on Cognitive in Alzheimer's Disease,OTHER,Conventional Exercise Training,conventional exercise training,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT07658430,"Southwest Hospital, China",Deep Cervical Lymphovenous Anastomosis for Moderate Alzheimer's Disease,PROCEDURE,Deep cervical lymphovenous anastomosis (LVA),deep cervical lymphovenous anastomosis lva,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT07658430,"Southwest Hospital, China",Deep Cervical Lymphovenous Anastomosis for Moderate Alzheimer's Disease,OTHER,Routine Treatment,routine treatment,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05904132,Massachusetts General Hospital,Individual Closed-Loop Neuromodulation Therapy for Alzheimer's Disease,DEVICE,tACS device,tacs device,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT07564700,"Heinrich-Heine University, Duesseldorf",A Study Testing Whether Low-Dose Radiation Could Help the Immune System and Possibly Improve Early-Onset Alzheimer's Disease.,RADIATION,Low-Dose Whole-Brain Radiotherapy,low dose whole brain radiotherapy,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,RADIATION-type intervention with no imaging evidence in its name — confirm manually,rule_type,low,True,
NCT07564700,"Heinrich-Heine University, Duesseldorf",A Study Testing Whether Low-Dose Radiation Could Help the Immune System and Possibly Improve Early-Onset Alzheimer's Disease.,OTHER,Control Condition (No Radiotherapy),control condition no radiotherapy,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00471211,Prana Biotechnology Limited,"Study Evaluating the Safety, Tolerability and Efficacy of PBT2 in Patients With Early Alzheimer's Disease",DRUG,PBT2,pbt2,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06372587,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Next-Generation alzheImer'S Therapeutics,OTHER,genetically encoded engineered proteins,genetically encoded engineered proteins,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT07031167,Fundació ACE Institut Català de Neurociències Aplicades,The COMFORTage Project at Ace Alzheimer Center Barcelona,BEHAVIORAL,Cognitive and functional stimulation using digital platforms,cognitive and functional stimulation using digital platforms,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT02640092,"Genentech, Inc.",Longitudinal Evaluation of [18F]GTP1 as a PET Radioligand for Imaging Tau in the Brain of Participants With Alzheimer's Disease Compared to Healthy Participants,DRUG,[18F]GTP1,18f gtp1,diagnostic_or_imaging_agent,matches a curated diagnostic/imaging tracer name,False,,,not_applicable,high,False,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,Tau PET tracer
NCT00103649,Sanofi,18-Month Study of the Efficacy of Xaliproden (SR57746A) in Patients With Mild-to-Moderate Dementia of the Alzheimer's Type,DRUG,xaliproden (SR57746A),xaliproden sr57746a,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06995638,"Rutgers, The State University of New Jersey",Improving Executive Control in Cognitively Healthy Older Adults: the MUltitasking STrategy (MUST) Study,BEHAVIORAL,Web-based Cognitive Training (with strategy),web based cognitive training with strategy,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT06995638,"Rutgers, The State University of New Jersey",Improving Executive Control in Cognitively Healthy Older Adults: the MUltitasking STrategy (MUST) Study,BEHAVIORAL,Web-based Cognitive Training (without strategy),web based cognitive training without strategy,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00627029,"Mathematica Policy Research, Inc.",Evaluation of Programs of Coordinated Care and Disease Management,BEHAVIORAL,Care Coordination,care coordination,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT01409694,"University Hospital, Angers",Alzheimer's Disease - Input of Vitamin D With mEmantine Assay,DRUG,Memantine,memantine,uncertain,approved Alzheimer's medicine alongside another unresolved intervention; no primary candidate determined,False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT01409694,"University Hospital, Angers",Alzheimer's Disease - Input of Vitamin D With mEmantine Assay,DRUG,Vitamin D,vitamin d,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01409694,"University Hospital, Angers",Alzheimer's Disease - Input of Vitamin D With mEmantine Assay,DRUG,Vitamin D placebo,vitamin d placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT05048966,Kessler Foundation,Comparison of Two Group Wellness Interventions for Individuals With Neurologic Conditions and Their Support Persons,BEHAVIORAL,Group Wellness Class 1,group wellness class 1,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT05048966,Kessler Foundation,Comparison of Two Group Wellness Interventions for Individuals With Neurologic Conditions and Their Support Persons,BEHAVIORAL,Group Wellness Class 2,group wellness class 2,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00548951,Queen's University,Alzheimer Patients and the Snoezelen Program,OTHER,Snoezelen Room,snoezelen room,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00548951,Queen's University,Alzheimer Patients and the Snoezelen Program,OTHER,Snoezelen Room,snoezelen room,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00548951,Queen's University,Alzheimer Patients and the Snoezelen Program,OTHER,Control,control,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT04404153,Albert Einstein College of Medicine,Neurostimulation for Cognitive Enhancement in Alzheimer's Disease,DEVICE,"tDCS device model Soterix mini-CT (Soterix Medical Inc., New York, NY) programed to deliver active tDCS.",tdcs device model soterix mini ct soterix medical inc new york ny programed to deliver active tdcs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT04404153,Albert Einstein College of Medicine,Neurostimulation for Cognitive Enhancement in Alzheimer's Disease,DEVICE,"tDCS device model Soterix mini-CT (Soterix Medical Inc., New York, NY) programed to deliver sham tDCS.",tdcs device model soterix mini ct soterix medical inc new york ny programed to deliver sham tdcs,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT02868905,"Central Hospital, Nancy, France",Identification of Epigenetic Markers Common to Obesity and Alzheimer's Disease in Women,PROCEDURE,Blood sample,blood sample,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT03625401,Zhejiang Hisun Pharmaceutical Co. Ltd.,Efficacy and Safety of AD-35 in Treatment of Subjects With Mild to Moderate Alzheimer's Disease,DRUG,AD-35 60mg group,ad 35 60mg group,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03625401,Zhejiang Hisun Pharmaceutical Co. Ltd.,Efficacy and Safety of AD-35 in Treatment of Subjects With Mild to Moderate Alzheimer's Disease,DRUG,Placebo group,placebo group,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT06055322,Texas Tech University,Reducing Suicide Risk Among Aging Caregivers of Persons With AD/ADRD,BEHAVIORAL,Adapted Dialectical Behavior Therapy,adapted dialectical behavior therapy,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT04606251,Istanbul University - Cerrahpasa,Home-Based Telerehabilitation for People With Alzheimer Disease,OTHER,Exercise,exercise,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00814801,Janssen Pharmaceutical K.K.,An Efficacy and Safety Study of Galantamine for the Treatment of Patients With Alzheimer's Disease,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT00814801,Janssen Pharmaceutical K.K.,An Efficacy and Safety Study of Galantamine for the Treatment of Patients With Alzheimer's Disease,DRUG,Galantamine 16 mg/day,galantamine 16 mg day,uncertain,head-to-head comparison of approved Alzheimer's medicines; no investigational candidate identified,False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00814801,Janssen Pharmaceutical K.K.,An Efficacy and Safety Study of Galantamine for the Treatment of Patients With Alzheimer's Disease,DRUG,Galantamine 24 mg/day,galantamine 24 mg day,uncertain,head-to-head comparison of approved Alzheimer's medicines; no investigational candidate identified,False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT01811381,VA Office of Research and Development,Curcumin and Yoga Therapy for Those at Risk for Alzheimer's Disease,DRUG,Curcumin,curcumin,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01811381,VA Office of Research and Development,Curcumin and Yoga Therapy for Those at Risk for Alzheimer's Disease,BEHAVIORAL,aerobic yoga,aerobic yoga,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT01811381,VA Office of Research and Development,Curcumin and Yoga Therapy for Those at Risk for Alzheimer's Disease,BEHAVIORAL,non aerobic yoga,non aerobic yoga,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT01811381,VA Office of Research and Development,Curcumin and Yoga Therapy for Those at Risk for Alzheimer's Disease,DIETARY_SUPPLEMENT,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT07595666,prof. dr. Koen Van Laere,Comparison of NeuroEXPLORER PET/CT Versus Standard-of-care PET/CT of the Head and Neck Region.,DEVICE,Standard-of-care PET/CT,standard of care pet ct,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT07595666,prof. dr. Koen Van Laere,Comparison of NeuroEXPLORER PET/CT Versus Standard-of-care PET/CT of the Head and Neck Region.,DEVICE,NeuroEXPLORER,neuroexplorer,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT00948766,Novartis,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",DRUG,Rivastigmine 4.6 mg/24 h (5 cm^2),rivastigmine 4 6 mg 24 h 5 cm 2,uncertain,head-to-head comparison of approved Alzheimer's medicines; no investigational candidate identified,False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00948766,Novartis,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",DRUG,Rivastigmine 9.5 mg/24 h (10 cm^2),rivastigmine 9 5 mg 24 h 10 cm 2,uncertain,head-to-head comparison of approved Alzheimer's medicines; no investigational candidate identified,False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00948766,Novartis,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",DRUG,Rivastigmine 13.3 mg/24 h (15 cm^2),rivastigmine 13 3 mg 24 h 15 cm 2,uncertain,head-to-head comparison of approved Alzheimer's medicines; no investigational candidate identified,False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00948766,Novartis,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT02356055,University of Oklahoma,Mass Practice of Activities of Daily Living in Dementia (STOMP),BEHAVIORAL,STOMP (Skill-building through Task-Oriented Motor Practice),stomp skill building through task oriented motor practice,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00377715,"Medivation, Inc.","Double-blind, Placebo-controlled Study of Oral Dimebon in Subjects With Mild to Moderate Alzheimer's Disease",DRUG,Dimebon,dimebon,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00377715,"Medivation, Inc.","Double-blind, Placebo-controlled Study of Oral Dimebon in Subjects With Mild to Moderate Alzheimer's Disease",DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT07252440,"Shanghai Auzone Biological Technology Co., Ltd.",A Study to Evaluate the Efficacy and Safety of TTYP01 Tablets in Early Symptomatic Alzheimer's Disease,DRUG,TTYP01 tables 60mg,ttyp01 tables 60mg,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT07252440,"Shanghai Auzone Biological Technology Co., Ltd.",A Study to Evaluate the Efficacy and Safety of TTYP01 Tablets in Early Symptomatic Alzheimer's Disease,DRUG,TTYP01 tables 90mg,ttyp01 tables 90mg,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT07252440,"Shanghai Auzone Biological Technology Co., Ltd.",A Study to Evaluate the Efficacy and Safety of TTYP01 Tablets in Early Symptomatic Alzheimer's Disease,DRUG,TTYP01 tables 0mg,ttyp01 tables 0mg,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT04121858,Indiana University,Brain Safe: Consumer Intervention to Reduce Exposure to Drugs Linked to Alzheimer's Disease,OTHER,Brain Safe App,brain safe app,behavioral,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT04121858,Indiana University,Brain Safe: Consumer Intervention to Reduce Exposure to Drugs Linked to Alzheimer's Disease,OTHER,Attention Control App,attention control app,behavioral,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00407576,National Institute of Mental Health (NIMH),PET Imaging of Brain Amyloid Using [11C]MeS-IMPY,DRUG,[11C]MeS-IMPY,11c mes impy,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,Amyloid PET tracer
NCT06608589,Laval University,CONSTELLATIONS Living Lab: Improving the Care Transitions of Older Adults Living with Neurocognitive Disorders,OTHER,CoMPAS+ MNCDs Program - Quality improvement program targeting the care transitions of patients living with a major neurocognitive disorder and their caregivers,compas mncds program quality improvement program targeting the care transitions of patients living with a major neurocognitive disorder and their caregivers,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00007189,Seattle Institute for Biomedical and Clinical Research,Alzheimer's Disease Anti-Inflammatory Prevention Trial (ADAPT),DRUG,Naproxen Sodium (Aleve),naproxen sodium aleve,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00007189,Seattle Institute for Biomedical and Clinical Research,Alzheimer's Disease Anti-Inflammatory Prevention Trial (ADAPT),DRUG,Celecoxib (Celebrex),celecoxib celebrex,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT06616350,University of Valencia,Impact of EsTOCma on OCD Family Members,DEVICE,esTOCma: an app to fight stigma associated with OCD,estocma an app to fight stigma associated with ocd,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT02719938,"University of North Carolina, Chapel Hill",Triggered Palliative Care for Advanced Dementia,BEHAVIORAL,Specialty Palliative Care,specialty palliative care,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT04570085,"University Hospital, Lille",Effect of CAFfeine on Cognition in Alzheimer's Disease,DRUG,Caffeine,caffeine,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04570085,"University Hospital, Lille",Effect of CAFfeine on Cognition in Alzheimer's Disease,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT00676143,Pfizer,Study Evaluating the Safety and Efficacy of Bapineuzumab in Alzheimer Disease Patients,DRUG,bapineuzumab,bapineuzumab,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00676143,Pfizer,Study Evaluating the Safety and Efficacy of Bapineuzumab in Alzheimer Disease Patients,DRUG,placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
